logistics_dropoff_distance,logistics_dropoff_distance_predicted,residuals,residuals_abs,customer_id,order_id
168.1046604439,101.68662232390723,66.41803811999277,66.41803811999277,h7vox4pa,y9gn-gxyz
13.1331046337,84.18861945379467,-71.05551482009467,71.05551482009467,r7sid9cl,s1am-tdtz
9.8559654526,100.47601676024166,-90.62005130764166,90.62005130764166,sglkr6al,d2cn-hwmu
14.7271500901,84.02483402040463,-69.29768393030463,69.29768393030463,x6nco5gu,v4bm-ivjb
220.8737595025,82.66317809534985,138.21058140715016,138.21058140715016,sgzhy2gu,y2sf-jwyc
56.2293433082,89.31994730737242,-33.090603999172416,33.090603999172416,sgnnx5xo,y5qw-d6z1
23.4176076129,78.64003153177578,-55.222423918875776,55.222423918875776,k5kjd9gf,y3rs-v7th
21.12961053,105.72706265520658,-84.59745212520659,84.59745212520659,v3soi1ev,y2vl-mdh7
72.5590622932,83.482049498438,-10.922987205238002,10.922987205238002,sgojj3ed,p5yb-v14b
68.2366344325,103.73494050555874,-35.49830607305874,35.49830607305874,sgezt9qg,f6hi-wm9o
21.0033914398,83.92125264660473,-62.91786120680473,62.91786120680473,i6slx1za,s2rc-jvem
128.6468668863,87.14433416957463,41.502532716725355,41.502532716725355,sgbzb3wp,y7kn-3zdt
6.5773034569,82.32519332732768,-75.74788987042768,75.74788987042768,y7tds3re,y2xz-mvqx
45.0971998206,82.86516874474239,-37.767968924142394,37.767968924142394,n7xqn0kx,x1sy-jxuf
87.0957047434,76.36327668914376,10.732428054256246,10.732428054256246,k9yyq2np,y8wj-s0ak
122.6901785764,86.63795647905867,36.05222209734133,36.05222209734133,f5hqg7uh,v1vd-4vmm
92.3619440412,101.26936922594885,-8.907425184748845,8.907425184748845,s1kgr7lq,y7ji-s3s8
32.1303073957,90.51249235020921,-58.38218495450921,58.38218495450921,z8ukv3qk,x8yk-7yxv
16.1277776752,83.17854073814225,-67.05076306294225,67.05076306294225,p7vsl5iv,y9zp-ox38
112.1808597228,88.91618209355285,23.264677629247146,23.264677629247146,g3ynn3tv,m1th-p13p
71.7468433137,129.22214127853985,-57.475297964839854,57.475297964839854,n3dwa1wj,y4qh-4yoo
99.8400385139,126.42243293739081,-26.58239442349081,26.58239442349081,z0ndt3zl,y2xz-5ojz
28.2597116044,79.7912834347478,-51.5315718303478,51.5315718303478,sgudt1mi,x4vr-3ks7
381.0613615215,85.5216824585717,295.53967906292826,295.53967906292826,sguco9p0,u2sc-rrsj
44.1872706867,84.46901409326132,-40.28174340656132,40.28174340656132,sgmrx5yz,d9sx-wc9p
8.8462179702,75.0940075425778,-66.2477895723778,66.2477895723778,sgk84tf2,y6lb-jtgc
37.1935487015,87.40832726310917,-50.21477856160917,50.21477856160917,sgfnc2zm,w0gm-wjme
80.7877135714,81.16259347842389,-0.37487990702388174,0.37487990702388174,c6kak2lj,x7dy-onhr
77.1698848957,84.61241086458107,-7.442525968881071,7.442525968881071,t2faw8rm,x5oe-5asc
104.6831387094,80.29361824526347,24.389520464136524,24.389520464136524,h4amc9jm,q9xh-hmzq
44.5485038987,78.00405165532028,-33.455547756620284,33.455547756620284,i2vnc0fb,y2sf-7uok
49.337064574,104.35642177787534,-55.01935720387534,55.01935720387534,sg9tlti5,s2bu-5qab
81.0242695261,93.96559980422869,-12.941330278128689,12.941330278128689,sgj8c5ef,n7no-0896
